latitude,longitude,timeOfDay,dayOfWeek,policeDistanceKm,hospitalDistanceKm,fireStationDistanceKm,emergencyResponseDistanceKm,incidentCount,crimeReports,touristReports,lightingScore,crowdDensity,transportAvailability,safetyLevel,datasetSource
13.0347,80.1731,EVENING,WEEKDAY,12.08,12.66,7.54,19.98,21,0,0,7,DESERTED,MODERATE,HIGH_RISK,synthetic
13.06415,80.31421,EVENING,SATURDAY,11.52,12.86,11.65,21.39,6,3,2,19,LOW,MODERATE,HIGH_RISK,synthetic
12.96259,80.05294,DAY,WEEKDAY,0.89,0.2,2.67,2.77,1,0,0,99,HIGH,HIGH,SAFE,synthetic
12.91285,80.14127,EVENING,WEEKDAY,1.01,0.41,2.61,0.84,0,0,0,90,HIGH,MODERATE,SAFE,synthetic
13.20356,80.01445,DAY,SATURDAY,1.14,0.32,0.99,1.91,0,0,0,94,NORMAL,MODERATE,SAFE,synthetic
13.24976,80.15842,EVENING,WEEKDAY,5.25,4.92,3.36,4.1,3,2,0,66,HIGH,HIGH,MODERATE,synthetic
13.0151,80.27046,MORNING,SUNDAY,3.02,4.43,3.23,3.79,2,1,0,79,NORMAL,HIGH,MODERATE,synthetic
13.18207,80.17173,NIGHT,SUNDAY,8.05,11.93,10.39,11.76,9,3,0,39,LOW,MODERATE,HIGH_RISK,synthetic
12.88677,80.30584,MORNING,SUNDAY,4.75,4.71,2.36,4.83,1,1,0,79,HIGH,MODERATE,MODERATE,synthetic
13.14683,80.10883,NIGHT,SUNDAY,13.82,6.54,13.63,17.68,2,2,1,33,DESERTED,LOW,HIGH_RISK,synthetic
13.17924,80.24129,DAY,SATURDAY,4.96,1.68,3.87,8.65,1,1,0,74,LOW,LOW,SAFE,synthetic
12.86472,80.24608,MORNING,SATURDAY,0.92,0.67,2.88,1.77,0,0,0,87,HIGH,MODERATE,SAFE,synthetic
13.21029,80.00166,NIGHT,WEEKDAY,4.6,12.7,15.42,21.11,0,9,2,39,LOW,LOW,HIGH_RISK,synthetic
13.04816,80.01114,NIGHT,SATURDAY,3.26,2.55,2.1,11.3,4,1,0,56,NORMAL,HIGH,MODERATE,synthetic
12.92626,80.22454,MORNING,SATURDAY,1.84,1.32,0.85,2.74,0,0,0,73,HIGH,MODERATE,SAFE,synthetic
12.80565,80.24002,MORNING,SUNDAY,1.52,2.25,2.07,5.28,0,1,0,44,NORMAL,HIGH,SAFE,synthetic
12.94561,80.12503,NIGHT,SUNDAY,2.55,3.36,4.71,6.48,1,0,0,58,NORMAL,HIGH,SAFE,synthetic
13.29652,80.30512,DAY,SATURDAY,0.54,0.48,2.46,1.57,0,0,0,92,NORMAL,MODERATE,SAFE,synthetic
13.20182,80.28561,DAY,SATURDAY,5.14,3.89,2.33,10.83,1,0,0,71,LOW,HIGH,SAFE,synthetic
13.1708,80.11211,NIGHT,SATURDAY,3.09,3.88,5.46,9.15,2,0,0,53,LOW,MODERATE,MODERATE,synthetic
13.03022,80.37521,DAY,WEEKDAY,1.5,1.8,2.11,2.82,0,0,0,93,NORMAL,MODERATE,SAFE,synthetic
12.95776,80.15755,MORNING,WEEKDAY,1.3,1.88,2.78,2.47,0,0,0,75,NORMAL,MODERATE,SAFE,synthetic
13.13362,80.22983,EVENING,SATURDAY,3.58,2.97,4.9,6.43,0,0,0,76,HIGH,HIGH,SAFE,synthetic
12.92208,80.30047,DAY,SUNDAY,1.72,0.53,1.3,3.88,1,0,0,77,NORMAL,MODERATE,SAFE,synthetic
13.26237,80.20471,DAY,SATURDAY,4.05,3.55,3.26,10.53,0,1,0,58,NORMAL,MODERATE,SAFE,synthetic
13.23779,80.21135,DAY,WEEKDAY,4.87,6.48,6.9,7.45,0,0,0,45,HIGH,HIGH,SAFE,synthetic
12.84373,80.10122,EVENING,SATURDAY,1.07,1.0,2.1,2.65,0,0,0,90,NORMAL,HIGH,SAFE,synthetic
13.11876,80.14815,EVENING,SUNDAY,4.75,4.81,5.11,10.98,0,0,0,36,NORMAL,MODERATE,MODERATE,synthetic
12.90809,80.16097,MORNING,SUNDAY,1.4,0.94,2.78,1.23,0,0,0,74,NORMAL,HIGH,SAFE,synthetic
13.11864,80.26422,DAY,SUNDAY,9.17,5.82,10.2,19.66,3,4,1,9,LOW,LOW,HIGH_RISK,synthetic
13.07754,80.03103,DAY,WEEKDAY,1.63,5.84,6.41,3.45,2,1,0,50,LOW,LOW,MODERATE,synthetic
13.06526,80.0957,NIGHT,SATURDAY,10.74,10.87,12.41,18.86,1,1,1,29,LOW,LOW,HIGH_RISK,synthetic
12.96625,80.16619,DAY,SUNDAY,2.0,6.07,6.54,6.04,0,0,0,56,LOW,HIGH,SAFE,synthetic
13.13919,80.30689,NIGHT,WEEKDAY,9.52,13.04,13.96,13.41,15,2,1,20,DESERTED,LOW,HIGH_RISK,synthetic
12.98092,80.09479,DAY,SATURDAY,1.09,0.58,0.38,3.35,0,0,0,83,NORMAL,MODERATE,SAFE,synthetic
12.95548,80.04375,DAY,SATURDAY,1.04,0.43,0.83,1.08,0,0,0,83,NORMAL,MODERATE,SAFE,synthetic
13.06741,80.14343,MORNING,WEEKDAY,1.84,1.86,0.39,3.67,0,0,0,78,NORMAL,HIGH,SAFE,synthetic
13.05911,80.14624,DAY,SUNDAY,1.45,1.05,1.7,0.68,1,0,0,93,NORMAL,MODERATE,SAFE,synthetic
13.14336,80.01799,EVENING,SUNDAY,0.16,0.59,1.8,2.88,0,0,0,80,NORMAL,HIGH,SAFE,synthetic
13.22209,80.35193,DAY,WEEKDAY,4.18,5.5,3.19,6.24,5,0,0,71,NORMAL,HIGH,MODERATE,synthetic
13.07249,80.20205,MORNING,SUNDAY,1.58,3.95,2.17,6.64,4,0,1,40,LOW,HIGH,MODERATE,synthetic
12.81103,80.36634,NIGHT,SATURDAY,5.01,4.92,7.44,11.06,0,0,0,52,NORMAL,HIGH,SAFE,synthetic
13.19873,80.003,NIGHT,SATURDAY,7.93,4.05,14.32,15.15,8,14,0,15,DESERTED,LOW,HIGH_RISK,synthetic
13.20278,80.14589,EVENING,SATURDAY,5.64,2.71,2.08,10.42,1,0,0,39,NORMAL,MODERATE,MODERATE,synthetic
12.93834,80.31233,NIGHT,WEEKDAY,4.68,5.02,4.7,5.63,0,1,1,50,NORMAL,MODERATE,MODERATE,synthetic
12.88128,80.21762,DAY,WEEKDAY,1.93,1.63,0.39,2.05,0,0,0,94,HIGH,MODERATE,SAFE,synthetic
12.9927,80.32219,EVENING,WEEKDAY,3.21,6.92,6.63,10.75,0,1,1,75,NORMAL,HIGH,SAFE,synthetic
12.99527,80.23273,DAY,SATURDAY,11.73,5.98,11.8,15.93,2,0,0,39,DESERTED,LOW,MODERATE,synthetic
12.8815,80.39385,DAY,SATURDAY,13.58,8.95,7.31,17.17,3,2,0,17,DESERTED,LOW,HIGH_RISK,synthetic
13.16151,80.30422,EVENING,SATURDAY,1.5,1.08,0.37,1.88,0,0,0,89,HIGH,HIGH,SAFE,synthetic
13.1247,80.30404,EVENING,SUNDAY,5.49,9.13,5.26,9.44,0,0,0,8,LOW,LOW,MODERATE,synthetic
13.27344,80.35019,DAY,SUNDAY,0.79,0.5,2.89,1.75,0,0,0,79,NORMAL,MODERATE,SAFE,synthetic
12.94444,80.32064,NIGHT,SUNDAY,10.93,10.87,10.74,13.61,11,0,0,19,DESERTED,LOW,HIGH_RISK,synthetic
13.02508,80.19049,DAY,SATURDAY,5.22,7.83,13.36,18.53,6,0,7,35,LOW,LOW,HIGH_RISK,synthetic
12.80846,80.19096,DAY,SUNDAY,0.62,0.75,1.29,1.94,0,0,0,93,NORMAL,MODERATE,SAFE,synthetic
12.96948,80.2305,NIGHT,WEEKDAY,9.11,10.47,15.12,8.48,2,2,4,5,DESERTED,LOW,HIGH_RISK,synthetic
13.22898,80.27931,DAY,WEEKDAY,0.35,1.97,1.81,3.87,0,0,0,95,NORMAL,MODERATE,SAFE,synthetic
12.90944,80.32615,EVENING,SUNDAY,0.97,1.71,0.62,2.36,1,0,0,71,NORMAL,MODERATE,SAFE,synthetic
13.10585,80.21066,MORNING,SATURDAY,3.46,6.06,3.8,11.01,3,0,0,75,HIGH,MODERATE,MODERATE,synthetic
12.91778,80.10406,EVENING,SATURDAY,1.85,0.52,0.69,2.92,0,0,0,93,NORMAL,HIGH,SAFE,synthetic
13.11873,80.37653,DAY,WEEKDAY,4.8,5.49,3.61,11.29,1,0,0,67,LOW,LOW,SAFE,synthetic
12.81197,80.24768,EVENING,WEEKDAY,1.47,0.97,2.64,3.55,0,0,0,73,NORMAL,MODERATE,SAFE,synthetic
13.05868,80.21602,EVENING,WEEKDAY,5.78,1.58,7.1,10.21,5,1,0,47,HIGH,MODERATE,MODERATE,synthetic
13.07719,80.16638,DAY,SUNDAY,4.89,2.46,3.04,3.39,0,0,0,72,HIGH,HIGH,SAFE,synthetic
12.97291,80.03353,NIGHT,SUNDAY,7.91,6.51,10.18,23.52,7,11,0,24,DESERTED,LOW,HIGH_RISK,synthetic
13.09096,80.38708,MORNING,WEEKDAY,2.03,5.45,3.25,8.23,2,0,0,69,NORMAL,HIGH,SAFE,synthetic
13.05207,80.10166,DAY,SUNDAY,1.21,1.06,1.29,3.99,0,0,0,86,NORMAL,HIGH,SAFE,synthetic
12.9392,80.14379,DAY,SATURDAY,4.58,11.69,14.11,19.3,1,8,3,16,DESERTED,MODERATE,HIGH_RISK,synthetic
12.83539,80.09522,MORNING,SATURDAY,2.12,2.52,2.07,10.44,0,1,0,40,NORMAL,HIGH,SAFE,synthetic
13.27847,80.31414,NIGHT,SATURDAY,11.34,12.29,15.61,15.26,10,0,0,13,LOW,LOW,HIGH_RISK,synthetic
13.06919,80.34823,EVENING,SUNDAY,2.92,5.36,5.89,10.47,2,0,1,54,HIGH,MODERATE,MODERATE,synthetic
13.01177,80.33521,DAY,SATURDAY,2.15,5.65,2.12,5.47,3,0,0,62,NORMAL,HIGH,MODERATE,synthetic
12.80865,80.37586,MORNING,SATURDAY,3.14,5.49,4.33,8.55,0,1,0,50,HIGH,LOW,SAFE,synthetic
12.88509,80.01825,MORNING,WEEKDAY,2.47,5.51,2.61,3.08,0,0,0,35,NORMAL,LOW,SAFE,synthetic
12.85041,80.31026,DAY,SUNDAY,1.85,1.4,2.15,0.96,0,0,0,70,NORMAL,MODERATE,SAFE,synthetic
12.93633,80.05517,DAY,WEEKDAY,2.87,3.82,5.74,8.43,9,0,0,47,NORMAL,LOW,MODERATE,synthetic
13.02784,80.28652,DAY,SUNDAY,1.81,0.87,2.95,1.5,0,0,0,97,HIGH,MODERATE,SAFE,synthetic
12.92499,80.10395,DAY,SATURDAY,13.25,5.38,7.24,9.71,1,1,2,11,DESERTED,LOW,HIGH_RISK,synthetic
13.02812,80.21173,MORNING,SATURDAY,1.49,1.49,0.51,3.64,0,0,0,99,NORMAL,HIGH,SAFE,synthetic
13.0169,80.27407,MORNING,SUNDAY,4.02,1.53,4.31,11.5,4,0,0,45,NORMAL,HIGH,MODERATE,synthetic
13.15527,80.18262,MORNING,SATURDAY,0.33,0.1,1.21,0.58,0,0,0,76,NORMAL,MODERATE,SAFE,synthetic
13.02231,80.3498,MORNING,SATURDAY,4.3,4.15,6.13,11.08,2,4,1,66,HIGH,MODERATE,MODERATE,synthetic
13.16466,80.38325,MORNING,SATURDAY,1.6,2.02,2.6,2.92,0,0,0,70,NORMAL,MODERATE,SAFE,synthetic
13.0111,80.24912,EVENING,SUNDAY,10.71,7.05,5.67,13.08,4,3,2,35,DESERTED,LOW,HIGH_RISK,synthetic
12.8015,80.1899,MORNING,WEEKDAY,0.44,2.46,2.56,3.17,1,0,0,76,NORMAL,MODERATE,SAFE,synthetic
12.80685,80.10097,EVENING,SATURDAY,3.59,1.51,5.39,4.78,2,0,0,60,LOW,MODERATE,MODERATE,synthetic
13.20832,80.08257,MORNING,WEEKDAY,3.51,6.17,4.63,11.49,0,2,0,36,NORMAL,HIGH,SAFE,synthetic
12.94221,80.26811,EVENING,WEEKDAY,13.29,6.22,14.73,21.54,1,4,1,31,DESERTED,MODERATE,HIGH_RISK,synthetic
12.87871,80.11074,EVENING,SUNDAY,3.37,6.38,2.08,3.72,2,0,2,68,NORMAL,LOW,MODERATE,synthetic
12.93299,80.3075,DAY,WEEKDAY,1.44,1.5,2.59,0.62,1,0,0,74,NORMAL,MODERATE,SAFE,synthetic
12.8873,80.10542,DAY,SUNDAY,1.2,2.17,1.94,2.78,0,0,0,92,NORMAL,MODERATE,SAFE,synthetic
13.14196,80.17276,MORNING,SATURDAY,1.12,1.69,2.17,2.63,0,0,0,74,NORMAL,MODERATE,SAFE,synthetic
13.1463,80.06458,DAY,SUNDAY,0.5,2.34,0.24,2.39,0,0,0,87,NORMAL,MODERATE,SAFE,synthetic
13.00723,80.29355,DAY,WEEKDAY,2.12,5.37,5.48,8.09,5,0,0,71,NORMAL,HIGH,MODERATE,synthetic
12.86021,80.31308,MORNING,SATURDAY,0.41,2.14,2.17,3.18,0,0,0,87,NORMAL,HIGH,SAFE,synthetic
12.94077,80.1965,NIGHT,WEEKDAY,5.82,3.16,5.13,11.62,1,0,0,42,HIGH,MODERATE,MODERATE,synthetic
12.90322,80.31937,DAY,SUNDAY,3.32,5.31,7.68,5.71,0,0,1,61,HIGH,HIGH,SAFE,synthetic
13.13421,80.13289,DAY,SATURDAY,0.71,1.76,2.94,1.17,0,0,0,74,HIGH,MODERATE,SAFE,synthetic
13.20145,80.22116,NIGHT,WEEKDAY,4.12,2.98,3.45,10.46,1,0,0,37,NORMAL,LOW,MODERATE,synthetic
12.97688,80.02418,MORNING,SATURDAY,0.12,0.45,1.99,1.19,0,0,0,80,NORMAL,HIGH,SAFE,synthetic
13.05802,80.38636,DAY,WEEKDAY,0.23,2.06,0.21,2.47,0,0,0,94,NORMAL,MODERATE,SAFE,synthetic
13.15501,80.00932,NIGHT,WEEKDAY,3.83,3.39,4.01,10.19,1,0,0,37,NORMAL,MODERATE,SAFE,synthetic
13.05759,80.01191,MORNING,SATURDAY,2.67,4.48,6.75,8.32,2,0,0,35,NORMAL,LOW,MODERATE,synthetic
13.02026,80.14908,EVENING,WEEKDAY,0.42,1.12,0.88,0.66,0,0,0,78,NORMAL,MODERATE,SAFE,synthetic
13.04129,80.20673,NIGHT,SATURDAY,5.09,9.99,8.1,8.59,1,2,0,33,LOW,LOW,MODERATE,synthetic
13.00089,80.18816,DAY,WEEKDAY,4.73,6.95,2.17,6.56,3,2,0,54,LOW,MODERATE,MODERATE,synthetic
13.0612,80.30504,NIGHT,SATURDAY,6.07,8.28,14.54,21.41,0,3,0,16,DESERTED,MODERATE,MODERATE,synthetic
13.10569,80.14321,DAY,SUNDAY,2.19,4.36,3.11,7.22,0,0,0,71,NORMAL,LOW,SAFE,synthetic
12.86059,80.0259,DAY,SUNDAY,0.52,2.23,2.79,1.31,0,0,0,87,NORMAL,MODERATE,SAFE,synthetic
12.98583,80.0908,NIGHT,WEEKDAY,6.76,8.38,7.91,15.94,1,2,0,15,LOW,MODERATE,MODERATE,synthetic
13.25128,80.33661,NIGHT,SUNDAY,5.25,4.41,5.83,9.07,0,2,0,61,LOW,MODERATE,MODERATE,synthetic
13.09274,80.33505,DAY,SATURDAY,0.56,1.45,0.5,1.22,0,0,0,94,NORMAL,HIGH,SAFE,synthetic
13.07292,80.12489,EVENING,SATURDAY,4.06,4.91,3.61,4.78,0,1,1,60,LOW,LOW,MODERATE,synthetic
13.11772,80.09453,EVENING,WEEKDAY,7.45,10.05,11.17,21.65,1,0,0,21,LOW,MODERATE,MODERATE,synthetic
13.03181,80.37371,EVENING,SATURDAY,7.35,12.13,7.48,17.85,6,2,1,21,DESERTED,MODERATE,HIGH_RISK,synthetic
12.97785,80.3132,DAY,SUNDAY,3.49,5.75,5.23,4.69,0,1,0,76,LOW,MODERATE,SAFE,synthetic
13.20112,80.38938,NIGHT,SATURDAY,5.87,2.55,5.88,11.92,3,0,0,40,NORMAL,LOW,MODERATE,synthetic
12.97494,80.14451,EVENING,SATURDAY,3.05,4.8,4.55,6.97,2,0,0,46,NORMAL,HIGH,MODERATE,synthetic
12.81542,80.32371,NIGHT,WEEKDAY,6.41,7.6,8.94,18.95,1,7,0,25,DESERTED,LOW,HIGH_RISK,synthetic
12.92982,80.39787,MORNING,SUNDAY,2.04,6.9,3.46,3.65,0,0,1,49,NORMAL,MODERATE,SAFE,synthetic
12.90953,80.28152,MORNING,SATURDAY,4.02,2.61,2.04,9.64,0,0,0,71,HIGH,LOW,SAFE,synthetic
12.91163,80.19333,EVENING,WEEKDAY,4.16,6.46,5.28,3.61,1,0,0,63,NORMAL,LOW,MODERATE,synthetic
12.91552,80.35043,DAY,WEEKDAY,3.84,3.15,7.51,11.0,3,1,1,57,NORMAL,HIGH,MODERATE,synthetic
13.18074,80.21477,EVENING,SUNDAY,0.78,1.71,0.35,1.7,0,0,0,86,NORMAL,MODERATE,SAFE,synthetic
12.98993,80.32868,MORNING,SUNDAY,0.26,0.65,2.81,3.4,0,0,0,72,NORMAL,HIGH,SAFE,synthetic
13.24006,80.01657,NIGHT,WEEKDAY,8.26,4.77,13.79,12.1,2,26,6,36,DESERTED,MODERATE,HIGH_RISK,synthetic
13.14832,80.12643,EVENING,SUNDAY,2.57,5.15,4.05,3.5,1,0,0,60,NORMAL,HIGH,MODERATE,synthetic
13.18954,80.10897,DAY,WEEKDAY,0.22,0.87,1.87,1.05,0,0,0,76,NORMAL,MODERATE,SAFE,synthetic
12.85408,80.08613,EVENING,SATURDAY,0.43,1.67,2.99,2.78,0,0,0,81,NORMAL,HIGH,SAFE,synthetic
12.86644,80.3073,EVENING,WEEKDAY,0.75,2.26,1.35,2.85,0,0,0,89,NORMAL,MODERATE,SAFE,synthetic
12.81253,80.38137,DAY,WEEKDAY,5.04,2.71,3.42,8.04,4,1,0,60,NORMAL,HIGH,MODERATE,synthetic
13.07814,80.00193,MORNING,SUNDAY,1.73,5.46,6.81,10.55,0,0,0,65,NORMAL,LOW,SAFE,synthetic
13.00672,80.20248,NIGHT,WEEKDAY,3.04,3.94,5.52,11.31,2,0,0,66,LOW,MODERATE,SAFE,synthetic
13.02352,80.25477,EVENING,SATURDAY,5.15,4.62,3.4,7.83,4,0,0,46,LOW,HIGH,MODERATE,synthetic
12.90384,80.01313,DAY,SATURDAY,5.29,5.04,4.81,11.78,0,0,0,48,LOW,HIGH,SAFE,synthetic
12.91875,80.05943,NIGHT,WEEKDAY,3.77,5.42,7.73,9.2,3,0,0,43,NORMAL,HIGH,MODERATE,synthetic
13.00587,80.12702,MORNING,SATURDAY,5.51,2.26,5.28,3.8,0,0,0,43,HIGH,HIGH,SAFE,synthetic
12.89361,80.29735,EVENING,SUNDAY,1.86,3.4,2.17,3.81,1,0,0,38,HIGH,HIGH,SAFE,synthetic
13.06121,80.26046,DAY,WEEKDAY,11.97,4.64,12.84,12.03,2,8,3,30,DESERTED,LOW,HIGH_RISK,synthetic
12.876,80.33988,EVENING,SUNDAY,4.14,1.94,7.73,11.17,1,0,1,37,NORMAL,HIGH,MODERATE,synthetic
13.26189,80.01912,NIGHT,SATURDAY,13.77,5.56,9.74,17.93,3,1,1,34,DESERTED,MODERATE,HIGH_RISK,synthetic
13.08,80.38927,EVENING,WEEKDAY,1.9,1.45,2.73,0.91,0,0,0,77,NORMAL,HIGH,SAFE,synthetic
13.15314,80.38263,MORNING,SATURDAY,1.96,2.84,4.27,4.13,0,0,0,39,LOW,LOW,SAFE,synthetic
12.84011,80.22232,MORNING,WEEKDAY,4.51,2.71,4.14,8.94,0,0,0,53,LOW,MODERATE,SAFE,synthetic
13.02788,80.21347,DAY,WEEKDAY,0.11,1.9,2.23,3.9,0,0,0,89,NORMAL,HIGH,SAFE,synthetic
13.2188,80.35077,NIGHT,SUNDAY,3.24,5.73,5.79,10.13,0,2,0,41,LOW,LOW,MODERATE,synthetic
12.99751,80.27974,MORNING,SUNDAY,1.33,0.54,1.38,3.72,0,0,0,96,NORMAL,MODERATE,SAFE,synthetic
13.04572,80.03576,NIGHT,SUNDAY,1.83,3.68,3.38,4.48,2,1,0,38,NORMAL,LOW,MODERATE,synthetic
13.27825,80.37161,EVENING,WEEKDAY,6.93,5.74,13.0,21.53,4,0,4,34,DESERTED,LOW,HIGH_RISK,synthetic
12.81692,80.03695,DAY,SATURDAY,1.71,6.52,4.7,9.3,0,3,0,37,LOW,HIGH,MODERATE,synthetic
13.08159,80.29781,EVENING,SATURDAY,7.06,13.22,8.89,12.36,4,5,0,30,DESERTED,MODERATE,HIGH_RISK,synthetic
13.10699,80.03841,NIGHT,SATURDAY,3.22,5.24,6.47,5.14,2,1,0,78,NORMAL,LOW,MODERATE,synthetic
13.29064,80.15124,DAY,SATURDAY,11.77,5.49,14.2,15.7,14,6,13,11,DESERTED,MODERATE,HIGH_RISK,synthetic
13.1308,80.30948,NIGHT,SATURDAY,5.24,7.36,14.2,22.75,7,6,0,16,DESERTED,LOW,HIGH_RISK,synthetic
13.08363,80.15683,DAY,WEEKDAY,5.7,4.87,3.37,7.5,2,0,0,72,NORMAL,MODERATE,MODERATE,synthetic
13.08339,80.27332,EVENING,WEEKDAY,0.65,1.95,2.74,0.66,0,0,0,83,NORMAL,MODERATE,SAFE,synthetic
13.28865,80.10193,DAY,SUNDAY,2.56,4.8,7.04,8.91,0,0,0,40,NORMAL,MODERATE,SAFE,synthetic
12.80477,80.38022,EVENING,SATURDAY,2.55,1.97,4.25,5.77,0,2,0,61,NORMAL,HIGH,SAFE,synthetic
13.29788,80.11339,DAY,SATURDAY,0.15,0.87,1.59,0.77,0,0,0,91,HIGH,MODERATE,SAFE,synthetic
13.0009,80.12266,MORNING,WEEKDAY,1.17,1.23,0.53,1.44,1,0,0,91,NORMAL,MODERATE,SAFE,synthetic
12.94251,80.39234,NIGHT,WEEKDAY,4.23,5.02,3.18,6.32,0,0,0,69,LOW,HIGH,SAFE,synthetic
13.08665,80.17974,DAY,SATURDAY,1.62,5.38,7.1,7.72,3,0,0,42,NORMAL,LOW,MODERATE,synthetic
12.95755,80.35521,EVENING,SATURDAY,1.32,0.88,2.86,1.16,0,0,0,95,NORMAL,HIGH,SAFE,synthetic
13.22726,80.25539,EVENING,WEEKDAY,11.99,7.13,7.15,13.16,2,1,0,8,DESERTED,MODERATE,HIGH_RISK,synthetic
13.03114,80.20121,MORNING,SATURDAY,1.52,2.14,2.15,3.83,0,0,0,81,NORMAL,HIGH,SAFE,synthetic
13.01735,80.29394,MORNING,SATURDAY,3.92,5.75,3.43,10.96,7,2,0,77,NORMAL,HIGH,MODERATE,synthetic
13.2996,80.38442,DAY,SUNDAY,1.48,0.73,1.15,1.34,0,0,0,89,NORMAL,MODERATE,SAFE,synthetic
13.21501,80.37359,EVENING,WEEKDAY,5.36,5.22,5.55,10.37,1,0,1,58,LOW,LOW,MODERATE,synthetic
13.03996,80.15412,DAY,SATURDAY,0.46,2.17,1.85,1.82,0,0,0,98,NORMAL,MODERATE,SAFE,synthetic
12.80425,80.20543,EVENING,WEEKDAY,1.11,0.36,2.49,2.4,0,0,0,91,NORMAL,MODERATE,SAFE,synthetic
13.16619,80.28231,EVENING,SATURDAY,0.31,2.21,0.76,1.56,0,0,0,99,HIGH,HIGH,SAFE,synthetic
12.98875,80.38914,NIGHT,SATURDAY,1.77,6.68,2.86,3.49,0,1,0,51,NORMAL,MODERATE,SAFE,synthetic
13.09323,80.09724,NIGHT,SUNDAY,3.01,4.92,6.55,6.14,0,0,0,62,LOW,LOW,MODERATE,synthetic
13.21239,80.38743,MORNING,SUNDAY,2.53,4.85,3.19,3.77,0,1,0,71,NORMAL,MODERATE,SAFE,synthetic
12.90538,80.10092,DAY,SUNDAY,1.82,0.65,2.83,1.43,0,0,0,97,NORMAL,HIGH,SAFE,synthetic
12.92789,80.30098,EVENING,WEEKDAY,1.86,1.12,0.73,1.45,0,0,0,99,NORMAL,MODERATE,SAFE,synthetic
13.1342,80.00296,NIGHT,SUNDAY,9.63,6.47,10.21,12.2,5,1,1,12,DESERTED,LOW,HIGH_RISK,synthetic
13.26067,80.0742,NIGHT,SATURDAY,8.95,5.05,8.96,22.69,1,3,1,11,LOW,MODERATE,HIGH_RISK,synthetic
13.2145,80.2818,EVENING,SATURDAY,4.47,3.29,2.93,5.12,1,0,2,64,HIGH,LOW,MODERATE,synthetic
13.24551,80.03482,EVENING,WEEKDAY,5.59,2.71,4.27,11.52,1,4,0,74,NORMAL,MODERATE,MODERATE,synthetic
12.82168,80.07134,EVENING,WEEKDAY,4.62,6.4,3.9,8.6,0,6,0,71,NORMAL,LOW,MODERATE,synthetic
12.83141,80.32586,MORNING,WEEKDAY,1.67,0.74,1.72,1.42,0,0,0,81,HIGH,MODERATE,SAFE,synthetic
13.12889,80.03582,EVENING,WEEKDAY,1.9,1.54,2.31,8.33,0,1,1,43,NORMAL,HIGH,SAFE,synthetic
13.29412,80.18281,DAY,SUNDAY,1.72,2.3,1.74,2.97,0,1,0,70,HIGH,HIGH,SAFE,synthetic
12.97929,80.03303,DAY,WEEKDAY,0.99,2.36,0.5,1.46,0,0,0,77,NORMAL,MODERATE,SAFE,synthetic
13.11088,80.01071,DAY,SATURDAY,0.83,1.72,1.63,3.02,0,0,0,74,HIGH,MODERATE,SAFE,synthetic
13.25332,80.15313,EVENING,SATURDAY,5.6,4.8,2.83,8.63,3,0,1,56,HIGH,HIGH,MODERATE,synthetic
13.0534,80.25735,NIGHT,WEEKDAY,5.37,4.44,15.7,19.72,4,0,2,32,DESERTED,MODERATE,HIGH_RISK,synthetic
13.11993,80.3817,NIGHT,WEEKDAY,12.33,8.44,11.02,16.05,2,7,2,24,LOW,LOW,HIGH_RISK,synthetic
13.23651,80.07177,EVENING,SUNDAY,1.29,1.79,0.53,1.22,0,0,0,90,NORMAL,MODERATE,SAFE,synthetic
13.22161,80.31036,DAY,WEEKDAY,0.38,2.04,0.29,2.88,0,0,0,96,HIGH,MODERATE,SAFE,synthetic
12.86524,80.10784,NIGHT,SUNDAY,3.13,2.15,7.89,3.97,0,2,0,66,NORMAL,HIGH,SAFE,synthetic
12.80308,80.3764,DAY,SATURDAY,1.64,0.2,0.61,3.5,1,0,0,85,NORMAL,MODERATE,SAFE,synthetic
12.88613,80.1061,EVENING,WEEKDAY,2.12,4.45,4.05,8.47,1,0,0,43,NORMAL,HIGH,SAFE,synthetic
13.09892,80.313,MORNING,SUNDAY,5.04,2.35,7.83,4.9,0,2,0,63,NORMAL,MODERATE,MODERATE,synthetic
13.10787,80.16867,DAY,SUNDAY,5.22,4.29,4.98,4.02,0,1,1,68,NORMAL,LOW,MODERATE,synthetic
13.0266,80.30642,MORNING,SATURDAY,3.93,5.22,3.42,5.52,1,0,0,77,NORMAL,MODERATE,SAFE,synthetic
13.25236,80.32865,EVENING,WEEKDAY,0.29,1.3,1.66,3.06,0,0,0,94,NORMAL,MODERATE,SAFE,synthetic
13.17451,80.31601,NIGHT,SUNDAY,7.92,7.64,13.84,17.28,14,1,0,23,LOW,LOW,HIGH_RISK,synthetic
12.936,80.05231,NIGHT,WEEKDAY,2.8,5.28,2.81,5.23,0,0,1,58,HIGH,LOW,MODERATE,synthetic
13.24907,80.18642,NIGHT,SATURDAY,10.16,7.5,7.91,9.89,2,6,4,35,DESERTED,LOW,HIGH_RISK,synthetic
12.81145,80.1319,NIGHT,WEEKDAY,3.72,2.78,2.2,5.64,1,0,0,75,LOW,LOW,SAFE,synthetic
12.81107,80.06896,DAY,SUNDAY,12.14,9.4,8.67,20.91,1,0,0,11,LOW,MODERATE,MODERATE,synthetic
12.87174,80.15392,EVENING,WEEKDAY,13.17,9.13,6.34,23.66,6,2,0,9,DESERTED,LOW,HIGH_RISK,synthetic
